iter	Recall	Logloss
0	0.7909758793	0.6601272687
1	0.9217216046	0.6332668794
2	0.9111891294	0.6084318096
3	0.8395422924	0.589381039
4	0.8398023536	0.5716874519
5	0.8396073077	0.5519236999
6	0.8396073077	0.5359543063
7	0.8400624147	0.5163236562
8	0.8406475522	0.4957915785
9	0.8395422924	0.4822715364
10	0.8391522008	0.4717353763
11	0.8387621091	0.4615276317
12	0.8374618035	0.4538792409
13	0.836876666	0.4456756191
14	0.8387621091	0.4368204664
15	0.8388271244	0.4295653962
16	0.8388271244	0.4213290321
17	0.8774461999	0.4158502995
18	0.8689942136	0.4088916605
19	0.885183018	0.4004163183
20	0.9080033808	0.3917193329
21	0.9150250309	0.3857776117
22	0.9160002601	0.3809729852
23	0.9142448475	0.3758033224
24	0.9150900462	0.3703348947
25	0.9161302906	0.3658999496
26	0.9144398934	0.3615086813
27	0.9166504128	0.3513085448
28	0.9165853976	0.3478510976
29	0.9168454587	0.3436330374
30	0.9234770171	0.3389142784
31	0.9342045381	0.3343176531
32	0.9367401339	0.3261852904
33	0.9355048436	0.3221894522
34	0.9348546909	0.3178118899
35	0.9344645992	0.3149215474
36	0.9347246603	0.311766994
37	0.935114752	0.3095585302
38	0.9353748131	0.3069030177
39	0.9355698589	0.3044167519
40	0.9327091867	0.3003763555
41	0.9343345686	0.2972378726
42	0.939080684	0.2935842522
43	0.9394057604	0.2911806867
44	0.9428515701	0.2884410563
45	0.9423964632	0.2864353883
46	0.9433066771	0.283567095
47	0.9435017229	0.2801494641
48	0.9438918146	0.2776553375
49	0.9423964632	0.2743111271
50	0.9422664326	0.2718265864
51	0.9427215396	0.2683437024
52	0.9422014173	0.2655606757
53	0.9451271049	0.2596308754
54	0.9462323646	0.2568773213
55	0.9468175021	0.2541117314
56	0.9462973799	0.2514402839
57	0.946102334	0.2501164389
58	0.9475326702	0.2476299331
59	0.9487679605	0.2438866678
60	0.9492230674	0.2414423526
61	0.9483128535	0.2387764818
62	0.948182823	0.2366133667
63	0.9476627007	0.2341094374
64	0.9475976855	0.2325628853
65	0.9482478382	0.2308127436
66	0.9504583577	0.22919234
67	0.9494831285	0.227015869
68	0.9499382355	0.224330325
69	0.9497431896	0.2219323449
70	0.9501332813	0.2199451092
71	0.954034198	0.2166931659
72	0.9551394578	0.2143476956
73	0.9658669787	0.2123346547
74	0.967557376	0.2104630652
75	0.9713932774	0.2090232119
76	0.9749691177	0.2050524557
77	0.97548924	0.203433784
78	0.9799752942	0.2017684231
79	0.9812105845	0.2000115856
80	0.9839412262	0.1974122287
81	0.984136272	0.1965673449
82	0.9893374943	0.1925721643
83	0.9888173721	0.1911664688
84	0.9884272804	0.1892438133
85	0.9888823874	0.1879619065
86	0.9888823874	0.1869141607
87	0.989272479	0.1850448926
88	0.9883622651	0.1833562621
89	0.9886873415	0.1817405882
90	0.9925882582	0.1802789343
91	0.9921331513	0.178486276
92	0.9909628763	0.1765978401
93	0.990897861	0.1757750299
94	0.9937585333	0.1733429656
95	0.9940185944	0.1713344767
96	0.9952538847	0.1696737185
97	0.9949288083	0.1683875358
98	0.9953839152	0.167341393
99	0.9956439763	0.1656572874
100	0.9959690527	0.1624739667
101	0.996034068	0.1613340547
102	0.9960990833	0.1598808971
103	0.9962941291	0.158084802
104	0.9963591444	0.1569698003
105	0.9964241597	0.1551024174
106	0.9964241597	0.1540008659
107	0.9966192055	0.1522220155
108	0.996489175	0.1505102386
109	0.996489175	0.1491860493
110	0.996489175	0.1477907528
111	0.9963591444	0.1462918371
112	0.9963591444	0.1454125463
113	0.9963591444	0.1444945321
114	0.9964241597	0.1435716352
115	0.9964241597	0.1419333354
116	0.9964241597	0.1403134469
117	0.9967492361	0.1380413024
118	0.9966842208	0.1368813392
119	0.9966192055	0.1361119822
120	0.9968792666	0.1337349135
121	0.9968792666	0.1326092064
122	0.9967492361	0.1311968292
123	0.9968792666	0.1301562525
124	0.9968792666	0.1290607955
125	0.9968792666	0.1281188309
126	0.9969442819	0.127242641
127	0.9967492361	0.1260463891
128	0.9970092972	0.1241775503
129	0.9970092972	0.1231996786
130	0.9971393277	0.1222882803
131	0.9970092972	0.1210440744
132	0.9971393277	0.1200040096
133	0.9970743125	0.1193800134
134	0.9971393277	0.1185493703
135	0.9971393277	0.1176191103
136	0.9971393277	0.1155234164
137	0.9971393277	0.1143741807
138	0.9971393277	0.1134394799
139	0.9971393277	0.1124297571
140	0.997204343	0.1112484442
141	0.997204343	0.1101552026
142	0.9971393277	0.1093207953
143	0.997204343	0.1085813164
144	0.997204343	0.1076310408
145	0.9972693583	0.1062567585
146	0.9973343736	0.1053808294
147	0.9973343736	0.1045752137
148	0.9973343736	0.1038586266
149	0.9973343736	0.1028178437
150	0.9972693583	0.1019723465
151	0.9973343736	0.1012775195
152	0.9972693583	0.1004046983
153	0.9973343736	0.09946501783
154	0.9973993889	0.09865910388
155	0.9973993889	0.09805262756
156	0.9973993889	0.09729443602
157	0.9973343736	0.09659416325
158	0.9973993889	0.09579356043
159	0.9973343736	0.09476962679
160	0.9973343736	0.09410951458
161	0.9973343736	0.09337537783
162	0.9973993889	0.09280939131
163	0.9974644041	0.09220048452
164	0.9974644041	0.09153378636
165	0.9974644041	0.09051495151
166	0.9974644041	0.09011830546
167	0.9974644041	0.0883836997
168	0.9974644041	0.08766375454
169	0.9974644041	0.08685384692
170	0.9973993889	0.08615978013
171	0.9973993889	0.08561486632
172	0.9974644041	0.08483172224
173	0.9974644041	0.0841744816
174	0.9975294194	0.08374669088
175	0.9975944347	0.08339761963
176	0.99765945	0.08259131289
177	0.9975944347	0.08205088786
178	0.9975944347	0.08141980355
179	0.9975944347	0.08099481854
180	0.9975294194	0.08024307109
181	0.99765945	0.0795401626
182	0.9975294194	0.07872215337
183	0.9975294194	0.07821355973
184	0.99765945	0.07773121923
185	0.99765945	0.0773235651
186	0.99765945	0.07612310114
187	0.99765945	0.07565270773
188	0.99765945	0.07508809533
189	0.99765945	0.07431387819
190	0.99765945	0.07379518628
191	0.99765945	0.07332576466
192	0.9975944347	0.07297153919
193	0.9975944347	0.07237846302
194	0.9975944347	0.07179894201
195	0.99765945	0.07137708182
196	0.99765945	0.07038352645
197	0.9977244652	0.06968599518
198	0.9977244652	0.06923073703
199	0.9977244652	0.06856338698
200	0.9977244652	0.06817189192
201	0.99765945	0.06774901503
202	0.99765945	0.06717107497
203	0.9977244652	0.06674130534
204	0.9977244652	0.06601642451
205	0.9978544958	0.0653992196
206	0.9982445875	0.0649497167
207	0.9978544958	0.06417784394
208	0.9985696639	0.06367041081
209	0.9986996944	0.06336860644
210	0.9990247708	0.06301082231
211	0.9989597555	0.06257587032
212	0.9992848319	0.06211977787
213	0.9994148625	0.06175497408
214	0.9994148625	0.06110511192
215	0.9994148625	0.06054647326
216	0.9994798778	0.05994354769
217	0.9994148625	0.05954386033
218	0.999544893	0.05908100721
219	0.9996749236	0.05868458611
220	0.999544893	0.05819349527
221	0.9997399389	0.05776074763
222	0.9996749236	0.0573821122
223	0.9997399389	0.05688499523
224	0.9997399389	0.05656913608
225	0.9997399389	0.05617652879
226	0.9997399389	0.05575304426
227	0.9998049542	0.05524429656
228	0.9998049542	0.05482965684
229	0.9998049542	0.05438727962
230	0.9998049542	0.05404045976
231	0.9998049542	0.05379309254
232	0.9998049542	0.05307615443
233	0.9998049542	0.05257696353
234	0.9998049542	0.05203438237
235	0.9998049542	0.05168400985
236	0.9998049542	0.05120630684
237	0.9998049542	0.05079726406
238	0.9998049542	0.05045886066
239	0.9998049542	0.0501343844
240	0.9998049542	0.04977131244
241	0.9998049542	0.04946370932
242	0.9998049542	0.04899619136
243	0.9998049542	0.04854305536
244	0.9998049542	0.04820181591
